Fostick, Leah;Leah Fostick;Ariel University
Colverson, Aaron;Aaron Colverson;University of Florida
Sauvé, Sarah A;Sarah A Sauvé;Memorial University of Newfoundland
Kierzkowski, Michał;Michał Kierzkowski;The Stanislaw Moniuszko Academy of Music in Gdansk
Kierzkowska, Katarzyna;Katarzyna Kierzkowska;The Stanislaw Moniuszko Academy of Music in Gdansk
Simchy-Gross, Rhimmon;Rhimmon Simchy-Gross;University of Arkansas
Margulis, Elizabeth;Elizabeth Margulis;University of Arkansas
Dick, Hannah;Hannah Dick;Eastman School of Music
Babb, Charles;Charles Babb;University of Rochester
Luebke, Anne;Anne Luebke;University of Rochester
Bolt, Emily;Emily Bolt;Memorial University of Newfoundland
Nozaradan, Sylvie;Sylvie Nozaradan;University of California, Louvain
Fleming, David;David Fleming;Memorial University of Newfoundland
Nweke, Florence E;Florence E Nweke;Department of Creative Arts, Faculty of Arts, University of Lagos, Nigeria
Ogunwo, Bolaji;Bolaji Ogunwo;Department of Creative Arts, Faculty of Arts, University of Lagos, Nigeria
Tanaka, Shoji;Shoji Tanaka;Sophia University
Phillips, Elizabeth;Elizabeth Phillips;UNR
Wolfson, David;David Wolfson;Hunter College
Altun, Firat;Firat Altun;University of York
Bryan, Carolyn;Carolyn Bryan;Georgia Southern University
Zhao, Tian;Tian Zhao;University of Washington
Vomberg, Lauren H;Lauren H Vomberg;University of Lethbridge
Vokey, John;John Vokey;University of Queensland
Allen, Scott;Scott Allen;University of Lethbridge
Chandrashekaran, Nisha;Nisha Chandrashekaran;National Institute of Mental Health and Neuro Sciences
Venkatasubramanian, Ganesan;Ganesan Venkatasubramanian;National Institute of Mental Health and Neuro Sciences
Mankel, Kelsey;Kelsey Mankel;University of Memphis
Bidelman, Gavin;Gavin Bidelman;University of Memphis
Schwarz, Kate L;Kate L Schwarz;Georgia State University
Norgaard, Martin;Martin Norgaard;Georgia State University
Demorest, Steven M.;Steven M. Demorest;Northwestern University
White, Adam;Adam White;Northwestern University
Thompson, Rachel M;Rachel M Thompson;St. Mary's College of Maryland
Mantell, James;James Mantell;St. Mary's College of Maryland
Metcalfe, Tim;Tim Metcalfe;University of Sheffield
Goltz, Franziska;Franziska Goltz;Radboud University Nijmegen
Werken, Maan van de;Maan van de Werken;BrainTrain2020 Ltd.
Floridou, Georgia;Georgia Floridou;University of Sheffield
Müllensiefen, Daniel;Daniel Müllensiefen;Goldsmiths
Belfi, Amy;Amy Belfi;Missouri University of Science and Technology
Kacirek, Kaelyn;Kaelyn Kacirek;Missouri University of Science and Technology
Gray-Bauer, Helen;Helen Gray-Bauer;Skidmore College
Han, Jeoung Yeoun;Jeoung Yeoun Han;Pai Chai University
Cho, Eun;Eun Cho;University of California, Riverside
Leo, Vera;Vera Leo;University of Helsinki
Sihvonen, A.J.;A.J. Sihvonen;University of Helsinki
Linnavalli, T.;T. Linnavalli;University of Helsinki
Tervaniemi, M.;M. Tervaniemi;University of Helsinki
Laine, M.;M. Laine;Åbo Akademi University
Soinila, S.;S. Soinila;University of Turku
Sarkamo, T.;T. Sarkamo;University of Helsinki
Varghese, Sharon;Sharon Varghese;International Institute of Information Technology
Goel, Minaxi;Minaxi Goel;International Institute of Information Technology
Alluri, Vinoo;Vinoo Alluri;IIIT - Hyderabad
iordache, adrian;adrian iordache;University of South Florida
Bugos, Jennifer A;Jennifer A Bugos;University of South Florida
Flaten, Erica;Erica Flaten;McMaster University
Marion-St-Onge, Chanel;Chanel Marion-St-Onge;University of Montreal
Sharda, Megha;Megha Sharda;University of Montreal
Charignon, Margot;Margot Charignon;University of Montreal
Qi, Xin;Xin Qi;Western University Brain and Mind Institute
Siedenburg, Kai;Kai Siedenburg;Department of Medical Physics and Acoustics, Carl von Ossietzky University of Oldenburg
Reuter, Christoph;Christoph Reuter;Institute of Musicology, University of Vienna
Basiński, Krzysztof;Krzysztof Basiński;Medical University of Gdańsk
Zdun-Ryżewska, Agata;Agata Zdun-Ryżewska;Medical University of Gdańsk
Majkowicz, Mikołaj;Mikołaj Majkowicz;Pomeranian University in Słupsk
Nichols, Bryan;Bryan Nichols;Penn State University
Springer, D. Gregory;D. Gregory Springer;Florida State University
Teoh, Emily;Emily Teoh;Trinity College Dublin
Lalor, Edmund;Edmund Lalor;University of Rochester
Miguel, Martin A;Martin A Miguel;LIAA, DC, UBA
Sigman, Mariano;Mariano Sigman;LNI, UTDT
Slezak, Diego Fernandez;Diego Fernandez Slezak;LIAA, DC, UBA
Cramer, Alfred W;Alfred W Cramer;Pomona College
Bachmann, Hannah;Hannah Bachmann;Ohio State University
Heine, Katrina;Katrina Heine;University of Southern California
Damasio, Hanna;Hanna Damasio;University of Southern California
MacLean, Jessica;Jessica MacLean;Frost School of Music, University of Miami
Chubb, Charles;Charles Chubb;University of California, Irvine
